,,,
avancer,"to advance, to make progress",verb,
renforcer,"to reinforce, to strengthen",verb,
résoudre,"to resolve, to solve",verb,
maintenir,"to maintain, to keep, to hol",verb,
tarif,"price, fare",noun,m
soutenir,"to support, to help",verb,
effectivement,"effectively, actually",adverb,
futé,"clever, smart",adjective,
reprise,"recovery, regrowth",noun,f
fournir,"to furnish, to provide",verb,
élaboration,"development, elaboration",noun,f
favoriser,"to promote, to boost",verb,
établir,"to establish, to set up",verb,
dégager,"to clear off, to free",verb,
mince,"thin, slim",adjective,
programmer,"to program, to schedule",verb,
reculer,"to go back, to move back, to step back",verb,
sûreté,"safety, security",noun,f
risquer,to risk,verb,
inquiétude,"worry, anxiety, fear",noun,f
néanmoins,"nevertheless, however",adverb,
misérable,"miserable, pitiful",adjective,
détention,"detention, incarceration",noun,f
cérébrale,"cerebral, brain",adjective,
déchirer,"to tear up, to tear apart",verb,
profiter,to make the most of,verb,
dommage,damage,noun,m
complot,"plot, scheme, conspiracy",noun,m
gaffe,"blunder, faux pas",noun,f
se rappeler,"to recall, to remember",verb,
fiable,reliable,adjective,
ravissante,"ravishing, delightful",adjective,
ancêtre,ancestor,noun,
éternelle,eternal,adjective,
attacher,"to attach, to fasten",verb,
insertion,integration,noun,f
bataille,battle,noun,f
foudre,lightning,noun,f
déclencher,"to trigger, to set off",verb,
investir,to invest,verb,
intimité,"intimacy, privacy, cosiness",noun,f
feuille,"piece of paper, sheet",noun,f
faiblesse,weakness,noun,f
mysterieux,mysterious,adjective,
gorge,throat,noun,f
bâtir,to build,verb,
pelle,shovel,noun,f
coque,"shell, hull",noun,f
mouillée,wet,adjective,
refaire,"to redo, to do again",verb,
désagréable,"disagreeable, unpleasant",adjective,
acquis,"knowledge, benefit, asset",noun,m
fascinant,fascinating,adjective,
pathétique,"moving, touching, pathetic",adjective,
gras,"greasy, oily",adjective,
ras,"short, low",adjective,
acid,"acidic, sharp",adjective,
conscient,"conscious, aware",adjective,
élevé,"high, steep",adjective,
alimentaire,"dietary, food-related",adjective,
