,,,,,
comercio,trade,noun,m,,
minimo,minimum,noun,m,,
formar,"to form, to make up",verb,,,
pleno,"at the height of, in the middle of",adjective,,,
dolor,"ache, pain",noun,m,,
pedir,"to ask, to request",verb,,,
verdadero,"true, reliable",adjective,,,
pregunta,question,noun,f,,
interese,interest,noun,m,,
ciencia,science,noun,f,,
antiguo,"old, ancient, antique",adjective,,,
actuar,to act,verb,,,
asunto,"issue, matter, subject",noun,m,,
reconocer,"to admit, to recognize",verb,,,
inmediato,immediate,adjective,,,
salida,exit,noun,f,,
participar,to participate,verb,,,
todavia,"still, yet",adverb,,,
evidente,"clear, obvious, apparent",adjective,,,
consumo,"consumption, use",noun,m,,
estudiar,to study,verb,,,
prueba,"test, check",noun,f,,
definitiva,"final, definitive",adjective,f,,
aumento,increase,noun,m,,
llover,to rain,verb,,,
periodo,"period, term",noun,m,,
titulo,title,noun,m,,
historico,historic,adjective,,,
diferente,different,adjective,,,
comprender,to understand,verb,,,
justo,"fair, unbiased, impartial",adjective,,,
aspecto,"aspect, facet",noun,m,,
llamar,"to phone, to call",verb,,,
costa,"coast, coastline",noun,f,,
requierer,to require,verb,,,
fuego,fire,noun,f,,
aceptar,"to accept, to agree to",verb,,,
pelicula,"movie, film",noun,f,,
precio,"price, fare, rate",noun,m,,
caro,expensive,adjective,,,
terminar,to finish,verb,,,
propias,your own,adjective,,,
dormir,to sleep,verb,,,
producto,"result, product",noun,m,,
cuadro,"painting, picture",noun,m,,
sacar,"to take, to get",verb,,,
programa,program,noun,m,,
memoria,memory,noun,f,,
producir,"to produce, to make",verb,,,
pobre,poor,adjective,,,
diferencia,difference,noun,f,,
riesgo,"risk, danger, threat",noun,m,,
caracteristica,"feature, characteristic",noun,f,,
correra,career,noun,f,,
materia,"matter, substance",noun,f,,
dirigente,"leader, manager",noun,,,
resolver,to resolve,verb,,,
fecha,date,noun,f,,
responsable,responsible,adjective,,,
mitad,half,noun,f,,
sentir,"to sense, to feel",verb,,,
entrada,entrance,noun,f,,
entregar,"to give, to donate",verb,,,
miedo,"fear, apprehension",noun,m,,
enorme,"huge, enormous, gigantic",adjective,,,
fundamental,"basic, vital, fundamental",adjective,,,
morir,to die,verb,,,
abrir,to open,verb,,,
efecto,effect,noun,m,,
capacidad,"capacity, ability",noun,f,,
posibilidad,"possibility, chance",noun,f,,
actividad,activity,noun,f,,
uso,"usage, use",noun,m,,
edad,age,noun,f,,
sin embargo,"however, nevertheless",preposition,,,
condicion,"condition, requirement",noun,f,,
mundial,"global, worldwide",adjective,,,
militar,military,adjective,,,
falta,"lack, shortage, scarcity",noun,f,,
igual,"the same as, like, identical to",adjective,,,
mostrar,to show,verb,,,
dirección,address,noun,f,,
lista,ready,adjective,,,
principal,"main, chief",adjective,,,
actual,"current, present",adjective,,,
disfrutar,to enjoy,verb,,,
principio,"start, beginning",noun,m,,
camino,path,noun,m,,
temprano,early,adverb,,,
tarde,late,adverb,,,
